Ltag-Rtag	total	OTU_0	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_19	OTU_20	OTU_21	OTU_22	OTU_23	OTU_24	OTU_25	OTU_26	OTU_27	OTU_28	OTU_29	OTU_30	OTU_31	OTU_32	OTU_33	OTU_34	OTU_35	OTU_36	OTU_37	OTU_38	OTU_39	OTU_40	OTU_41	OTU_42	OTU_43	OTU_44	OTU_45	OTU_46	OTU_47	OTU_48	OTU_49	OTU_50	OTU_51	OTU_52	OTU_53	OTU_54	OTU_55	OTU_56	OTU_57	OTU_58	OTU_59	OTU_60	OTU_61	OTU_62	OTU_63	OTU_64	OTU_65	OTU_66	OTU_67	OTU_68	OTU_69	OTU_70	OTU_71	OTU_72	OTU_73	OTU_74	OTU_75	OTU_76	OTU_77	OTU_78	OTU_79	OTU_80	OTU_81	OTU_82	OTU_83	OTU_84	OTU_85	OTU_86	OTU_87	OTU_88	OTU_89	OTU_90	OTU_91	OTU_92	OTU_93	OTU_94	OTU_95	OTU_96	OTU_97	OTU_98	OTU_99	OTU_100	OTU_101	OTU_102	OTU_103	OTU_104	OTU_105	OTU_106	OTU_107	OTU_108	OTU_109	OTU_110	OTU_111	OTU_112	OTU_113	OTU_114	OTU_115	OTU_116	OTU_117	OTU_118	OTU_119	OTU_120	OTU_121	OTU_122	OTU_123	OTU_124	OTU_125	OTU_126	OTU_127	OTU_128	OTU_129	OTU_130	OTU_132	OTU_133	OTU_134	OTU_135	OTU_136	OTU_137	OTU_138	OTU_141	OTU_142	OTU_143	OTU_145	OTU_146	OTU_147	OTU_148	OTU_149	OTU_150	OTU_151	OTU_152	OTU_153	OTU_154	OTU_155	OTU_156	OTU_158	OTU_159	OTU_160	OTU_161	OTU_162	OTU_164	OTU_165	OTU_167	OTU_168	OTU_170	OTU_173	OTU_174	OTU_175	OTU_176	OTU_177	OTU_180	OTU_182	OTU_183	OTU_189	OTU_192	OTU_194	OTU_195	OTU_199	OTU_200	OTU_204	OTU_206	OTU_209	OTU_212	OTU_218	OTU_223	OTU_226	OTU_228	OTU_234	OTU_235	OTU_238	OTU_240	OTU_241	OTU_244	OTU_248	OTU_249	OTU_250	OTU_251	OTU_268	OTU_274	OTU_276	OTU_277	OTU_291	OTU_293	OTU_303	OTU_314	OTU_318	OTU_332	OTU_345	OTU_353	OTU_356	OTU_363	OTU_368	OTU_377	OTU_378	OTU_403	OTU_410	OTU_422	OTU_432	OTU_447	OTU_450	OTU_464	OTU_467	OTU_468	OTU_484	OTU_486	OTU_500	OTU_505	OTU_507	OTU_516	OTU_520	OTU_523	OTU_547	OTU_553	OTU_558	OTU_564	OTU_576	OTU_585	OTU_606	OTU_644	OTU_665	OTU_668	OTU_672	OTU_689	OTU_700	OTU_712	OTU_718	OTU_747	OTU_763	OTU_789	rem
593_HL	13128	2720	649	195	179	392	194	165	555	98	58	207	73	64	444	21	125	146	97	152	301	88	17	132	115	46	108	179	68	63	141	93	15	35	26	68	26	67	174	90	141	27	14	95	7	49	38	41	141	201	22	33	34	6	9	30	66	9	29	9	17	78	62	29	53	44	2	16	18	36	18	13	33	2	19	12	7	28	8	17	81	22	13	77	1	100	38	24	31	16	16	30	7	21	36	3	45	32	8	54	0	18	17	16	12	0	28	0	4	5	14	9	4	3	3	20	18	14	7	3	12	10	1	15	18	17	2	0	11	7	1	1	15	4	7	7	6	8	6	1	21	30	12	3	15	15	6	3	19	5	6	7	0	3	0	3	38	5	0	9	64	0	2	60	2	7	16	13	5	3	2	0	0	17	1	6	6	3	3	55	2	4	6	0	0	3	10	5	18	0	0	2	0	3	2	5	3	0	37	0	7	2	16	1	3	653	7	0	0	1	0	2	0	4	2	61	5	0	28	7	4	8	2	25	1	3	16	3	36	0	9	98	24	13	1	2	0	17	9	19	79	10	14	4	14	0	23	61	371
598_LL	19164	2809	1490	558	365	2530	293	523	166	117	122	108	88	146	302	279	242	195	313	438	341	75	6	208	113	93	229	123	199	155	10	193	80	112	50	196	11	105	135	65	127	93	271	65	8	19	101	24	129	146	34	23	72	1	35	54	44	31	59	21	18	72	50	31	33	29	3	12	39	43	111	10	1	14	8	1	38	25	2	33	45	20	67	8	0	14	19	12	15	6	20	16	17	8	27	8	29	23	16	49	10	14	57	23	46	12	3	40	3	0	13	11	9	27	6	12	13	15	12	7	5	16	2	7	12	6	7	4	11	2	1	2	8	17	0	3	8	5	7	10	18	36	13	8	6	21	17	9	17	9	37	10	1	8	12	6	9	9	0	4	36	0	11	39	8	5	3	16	3	6	10	10	0	2	0	4	3	1	62	113	2	1	0	0	0	0	16	2	35	0	0	0	0	6	1	0	3	0	0	0	6	1	0	1	9	775	7	0	1	0	0	9	1	4	4	52	0	0	91	13	0	4	1	9	3	3	4	6	49	6	15	124	35	6	3	10	0	17	8	12	208	0	26	1	0	17	27	50	500
885_HL	26340	7632	3533	1022	2488	633	261	166	1114	307	500	419	216	426	582	341	69	119	60	131	202	47	19	94	66	73	73	66	45	51	142	67	110	115	83	5	37	100	80	164	28	70	79	107	98	243	73	52	130	185	54	16	20	34	6	23	42	16	22	26	13	10	56	39	48	33	52	25	22	23	5	5	37	3	54	4	6	41	9	13	54	14	26	4	16	0	32	66	27	57	30	65	22	13	18	1	20	13	17	48	0	17	3	7	2	15	9	2	15	3	0	11	3	4	6	11	19	1	13	12	23	13	6	11	13	16	6	3	12	20	0	8	24	13	8	8	0	13	18	23	16	16	7	2	7	0	2	3	18	10	10	15	6	20	3	6	1	10	4	6	52	0	10	76	4	7	0	11	6	4	6	0	0	3	0	6	3	1	6	49	2	6	0	4	0	10	11	0	14	0	2	0	0	3	2	0	1	0	0	0	0	0	0	2	0	461	3	1	5	0	3	2	0	6	0	34	4	0	31	0	54	13	3	3	4	6	12	2	44	3	30	48	33	8	8	3	0	7	10	14	43	0	10	8	4	1	35	18	489
509_LH	19390	2017	545	1553	1261	101	1045	768	81	115	313	437	269	217	113	218	568	520	294	348	206	267	12	181	205	161	282	71	206	160	17	135	21	68	105	9	39	125	201	60	96	98	63	103	28	33	110	162	161	122	38	106	52	14	6	20	105	27	109	38	31	55	78	57	43	42	18	19	4	21	22	12	63	13	23	3	29	30	35	25	30	23	8	11	29	18	10	23	15	6	14	18	106	6	10	17	25	65	3	19	121	15	7	19	1	1	5	3	12	19	5	22	5	61	6	7	21	0	29	9	14	11	9	7	16	14	6	1	10	11	1	1	11	2	28	7	5	7	6	9	30	14	11	6	5	12	24	3	11	6	13	11	5	12	10	5	3	9	0	9	33	12	4	57	5	6	0	17	3	4	10	6	0	0	15	6	2	3	0	102	10	2	4	0	1	5	10	3	15	1	4	1	0	0	2	11	6	1	0	0	8	5	0	3	0	133	8	3	6	0	8	24	0	7	13	28	4	0	175	5	16	4	2	19	3	2	12	4	17	0	1	60	493	8	48	8	16	12	7	13	134	18	43	3	12	10	28	438	541
31_HH	13012	1487	539	1095	670	807	688	39	45	181	722	381	736	270	168	14	44	226	65	150	117	99	3	61	78	53	61	56	44	28	4	99	88	56	41	63	43	34	84	55	28	38	12	62	34	56	10	7	84	83	15	9	18	1	7	24	48	15	21	11	34	18	57	46	32	27	32	12	1	39	55	6	1	40	5	0	5	15	9	42	17	18	41	2	4	24	43	27	8	5	18	24	10	32	18	1	29	25	0	14	0	10	0	4	14	7	30	2	4	5	0	12	7	34	4	39	10	8	24	12	16	10	4	22	14	3	5	1	6	2	35	1	6	15	9	1	4	2	8	13	5	29	3	4	13	5	1	6	18	9	3	7	14	7	2	3	1	5	4	3	16	3	2	37	4	5	0	7	5	8	13	0	1	2	0	5	2	3	1	20	0	3	3	0	0	3	18	0	16	0	3	1	7	0	1	0	2	0	0	0	5	0	0	1	0	633	4	4	1	4	0	1	6	3	5	7	2	2	18	4	1	2	0	13	1	15	2	4	8	0	28	41	29	6	16	6	1	4	6	9	37	0	7	10	1	0	19	28	369
58_LH	28657	1625	322	3567	534	770	3344	1593	94	359	1391	1355	1099	780	139	90	372	686	404	356	194	102	18	108	432	221	23	62	171	174	14	223	163	137	241	192	86	113	31	135	131	362	77	167	123	43	28	11	131	99	56	66	62	7	10	57	34	62	78	87	79	18	79	50	75	45	121	32	194	44	5	54	14	5	29	151	11	53	12	23	83	44	15	4	2	2	40	24	37	23	44	58	4	50	11	28	55	44	4	11	72	10	30	15	68	6	36	64	38	31	26	23	6	5	23	19	27	18	9	2	10	8	4	38	21	24	12	3	23	7	1	2	9	4	17	10	7	5	21	19	14	18	14	2	18	0	19	1	15	7	11	15	12	16	7	4	7	17	1	5	27	5	7	62	10	1	0	24	11	5	8	8	0	10	0	11	3	8	29	179	1	8	2	0	0	3	14	0	22	0	3	0	0	0	2	0	4	0	0	0	7	0	0	3	0	117	0	0	0	0	1	2	0	10	10	84	2	0	122	16	16	12	7	5	14	17	9	5	67	0	27	58	233	14	124	3	1	7	17	9	220	1	24	51	0	14	36	122	639
513_LL	28087	3608	1672	579	1145	7030	1964	136	190	2040	83	2159	108	480	204	510	54	111	93	74	315	53	19	23	36	74	42	31	22	14	10	109	170	47	20	8	24	76	18	177	30	59	38	94	3	85	12	11	105	156	97	10	10	12	8	35	35	10	13	23	14	37	39	63	47	43	31	29	4	30	13	5	11	10	45	11	5	32	7	12	102	8	9	3	4	19	41	281	27	42	47	51	7	38	31	3	30	37	2	41	1	20	1	3	1	17	34	2	10	1	1	12	2	2	1	15	19	2	2	8	13	10	5	28	23	25	6	1	8	2	0	85	20	5	24	4	1	8	13	37	15	19	2	1	23	4	4	0	23	3	2	12	11	14	0	11	0	9	25	8	31	3	11	73	9	0	0	16	4	8	8	1	0	40	0	3	4	3	38	64	2	2	3	1	0	6	7	0	30	14	3	0	0	1	1	0	1	0	0	0	8	0	0	0	0	326	2	0	1	1	2	29	0	2	3	36	7	0	26	1	22	14	8	3	1	8	15	3	107	0	35	68	22	9	5	7	0	8	10	15	28	5	7	7	4	2	34	13	453
38_LH	21598	2207	1526	1281	1092	1638	551	118	414	635	478	373	191	283	189	58	107	365	183	264	387	297	24	179	187	72	120	54	131	79	17	163	57	105	93	121	67	168	70	135	83	99	255	140	41	104	128	13	159	209	48	27	76	6	5	29	84	19	34	22	53	31	65	50	58	61	46	29	52	28	9	17	33	34	47	49	11	26	35	12	56	24	25	1	35	8	32	22	23	30	35	64	31	32	19	9	46	35	13	23	11	24	4	26	6	3	25	36	9	14	3	6	7	6	10	17	11	10	31	17	17	17	9	21	14	26	0	18	13	8	10	5	17	23	21	9	9	9	11	21	9	14	4	2	9	3	11	9	27	9	22	18	6	13	5	11	0	6	0	4	41	10	8	45	10	6	1	17	13	13	14	2	0	5	0	5	4	5	2	125	1	2	2	0	0	5	17	0	15	0	3	0	0	3	2	0	0	0	0	0	13	0	0	0	0	1471	1	0	8	0	5	0	3	4	1	45	4	0	57	18	43	10	5	2	6	19	14	5	46	0	30	91	304	13	34	2	0	4	4	17	137	0	18	5	16	5	40	77	540
4_LL	3753	163	123	79	92	36	46	42	34	45	30	51	22	28	12	14	27	23	7	22	209	16	15	11	17	20	14	10	10	13	10	16	2	1	7	9	8	22	14	62	7	13	3	88	4	65	5	5	84	127	35	5	6	5	2	0	60	5	1	4	4	32	57	34	54	40	2	13	3	38	5	2	22	3	18	3	2	22	1	33	31	0	14	3	1	2	27	7	28	11	16	35	0	1	24	0	50	43	1	11	4	11	0	0	0	1	1	2	1	0	0	14	1	5	1	15	14	2	4	0	24	5	0	0	13	17	1	0	16	10	0	2	15	1	23	9	1	7	6	20	16	23	0	0	2	13	0	0	16	7	2	7	0	2	0	5	0	6	0	5	15	0	6	44	4	11	0	9	6	11	13	0	0	0	0	5	4	7	0	5	2	4	5	0	0	4	16	4	14	0	0	5	0	6	6	10	6	0	0	0	7	6	0	6	1	40	8	6	2	7	2	1	5	4	6	9	7	12	6	2	4	4	5	29	0	10	13	9	5	0	26	35	7	8	1	0	0	3	11	16	13	13	1	1	14	1	36	4	176
056_LH	15169	1718	1526	1405	731	293	1276	202	620	440	466	823	263	246	283	24	60	77	42	52	206	59	15	24	29	26	31	18	34	24	21	107	43	68	54	35	66	64	16	45	26	121	11	101	48	53	27	15	104	122	35	13	16	4	6	18	41	5	14	42	11	50	40	49	33	42	37	14	14	36	12	8	71	5	21	30	10	22	4	34	108	16	19	1	1	3	19	16	14	7	14	8	0	0	25	0	25	37	2	26	5	26	24	5	11	2	0	18	10	3	5	18	4	12	2	15	12	22	2	1	10	4	1	3	13	21	6	41	10	7	34	5	16	5	28	5	0	7	8	7	17	10	5	3	0	16	7	1	16	5	3	12	3	11	2	7	4	6	1	6	18	1	6	37	6	11	3	15	10	5	9	2	0	0	2	4	2	4	0	75	0	5	4	0	0	9	10	3	20	2	0	1	0	1	2	6	2	0	0	0	4	2	0	2	3	59	8	2	7	0	2	0	0	3	1	26	5	0	13	1	7	3	0	28	0	2	5	8	24	0	16	28	292	6	23	1	0	2	7	9	26	14	2	5	12	0	31	24	380
519_HH	18973	1365	110	753	1515	39	692	960	81	369	31	280	113	302	263	253	551	474	630	436	342	205	19	226	190	199	16	290	292	192	209	391	24	25	108	11	126	67	251	78	186	154	10	79	82	70	176	61	157	112	23	66	196	6	11	78	35	17	48	104	9	97	74	29	40	42	25	20	2	33	15	23	35	12	31	2	74	44	21	19	31	110	20	4	78	23	12	13	20	21	12	24	167	18	43	6	42	32	2	39	1	34	3	26	2	1	11	3	14	19	0	12	30	4	3	16	10	44	89	0	15	13	33	10	12	15	7	1	11	9	4	9	18	116	6	10	43	9	10	10	31	18	13	0	9	11	16	7	36	8	43	13	12	4	16	8	9	7	4	25	42	5	4	57	4	7	1	24	1	9	3	3	0	0	3	4	3	4	0	229	2	4	4	1	2	5	8	5	13	0	0	5	0	2	4	10	1	0	0	0	6	5	0	1	0	158	6	5	0	0	0	79	0	11	6	17	5	0	68	2	2	6	3	45	22	2	9	6	27	0	25	56	16	9	220	0	51	8	9	15	256	15	79	27	7	0	31	223	480
884_HL	25881	2602	207	1682	1658	154	2440	1226	95	176	1000	744	550	1022	498	1885	300	315	248	291	298	51	23	51	61	189	372	44	170	172	52	35	266	207	230	7	50	62	262	209	64	109	94	149	70	67	99	159	171	139	96	40	40	14	3	87	96	19	59	36	14	36	72	65	60	67	88	44	10	34	4	4	34	6	45	6	28	43	1	19	73	33	23	4	50	0	45	53	28	12	45	69	94	22	40	20	31	23	52	90	0	15	1	1	4	8	21	0	19	0	4	22	10	27	2	7	19	0	11	7	21	1	15	24	15	30	27	1	15	24	5	6	16	44	0	14	2	4	20	13	21	12	13	6	19	9	12	3	31	18	10	10	12	20	4	9	13	9	8	6	50	1	10	77	5	2	0	17	10	6	12	20	0	24	11	3	7	4	1	134	1	0	0	1	0	3	16	1	24	22	0	0	0	3	0	0	3	0	0	0	19	1	0	1	3	76	1	13	6	0	8	1	0	8	5	133	8	0	81	1	63	10	5	9	10	7	18	5	55	0	17	54	23	16	21	3	1	6	20	13	194	2	33	30	0	7	38	126	540
512_LL	24611	2097	270	2383	2133	287	364	1974	262	257	848	424	113	499	376	1081	337	149	459	584	355	81	556	275	186	183	19	18	163	104	21	227	223	225	140	11	176	124	438	181	84	58	66	137	7	156	154	72	195	116	46	17	94	80	101	62	32	23	47	71	9	90	58	49	36	53	7	40	6	34	1	19	17	24	38	6	51	45	14	11	54	41	38	175	34	7	26	29	28	19	54	55	15	24	20	21	43	25	3	53	0	16	1	15	7	49	21	1	23	19	16	18	9	5	6	17	34	55	30	13	25	10	12	21	21	17	1	0	21	7	1	5	21	22	8	24	1	10	14	12	24	14	16	0	11	1	10	5	24	5	27	16	10	9	1	15	9	16	7	23	38	4	9	82	7	4	3	30	4	14	6	4	0	7	14	7	3	3	2	230	0	1	4	1	0	4	9	0	19	1	3	1	0	2	1	0	1	0	0	0	9	0	0	3	0	114	2	2	0	0	1	45	0	14	5	49	5	0	109	2	16	12	1	19	3	8	10	3	58	0	30	68	35	9	69	3	15	3	18	9	186	3	42	5	0	11	42	127	484
46_HL	14308	3325	534	506	586	679	300	292	127	253	31	281	18	226	469	318	97	106	83	125	371	30	69	60	44	83	179	39	54	48	119	143	58	138	3	65	19	103	18	59	37	190	21	95	9	40	16	10	141	205	34	18	25	2	7	41	86	15	39	22	7	53	61	38	43	48	29	17	5	34	11	6	98	0	22	9	16	18	7	13	51	15	11	1	2	116	21	13	13	16	13	23	2	10	32	7	42	42	22	18	6	18	40	9	16	4	7	39	4	1	14	11	7	4	4	16	14	1	43	1	5	9	5	15	10	16	4	13	10	6	1	3	12	13	15	2	2	3	9	7	22	21	12	5	6	16	7	0	29	7	14	11	0	8	3	12	3	6	0	3	33	2	6	39	9	12	0	19	15	10	9	3	0	0	0	5	2	5	0	59	1	4	2	1	2	4	14	2	16	1	0	7	0	5	3	4	3	0	0	0	0	2	0	3	3	317	10	2	6	1	4	2	3	6	3	10	3	0	17	5	4	9	3	16	1	10	8	7	12	0	15	87	62	9	24	5	1	12	7	16	78	16	7	28	24	2	22	37	372
